state,eligible_renewable_other_technologies_nm,system_capacity_limit_nm,applicable_sectors_nm,net_excess_generation_nm,net_metering,solar,wind,geo,res,com,ind,res_limit,com_limit,ind_limit,max_fraction_demand,cap_based_on_energy
GA,"Photovoltaics, Wind, Fuel Cells",100 kW non-residential; 10 kW residential ,"Commercial, Industrial, Residential",Credited to customer's next bill at a predetermined rate filed with the commission,F,TRUE,TRUE,#VALUE!,TRUE,TRUE,TRUE,0,0,0,0,0
HI,"Photovoltaics, Wind, Biomass, Hydroelectric, Small Hydroelectri","100 kW for HECO, MECO, HELCO customers; 50 kW for KIUC customers ","Commercial, Residential, Local Government, State Government, Fed. Government",Credited to customer's next bill at retail rate; granted to utility at end of 12-month billing cycle ,B,TRUE,TRUE,#VALUE!,TRUE,TRUE,#VALUE!,100,100,100,0.03,0
ID,,,,,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,0,0.00E+00,0
IL,"Photovoltaics, Wind, Biomass, Hydroelectric, Anaerobic Digestion, Small Hydroelectric, Fuel Cells using Renewable Fuels, Microturbines",2 MW (but full retail NEM limited to residential and certain small commercial customers),"Commercial, Industrial, Residential, Nonprofit, Schools, Local Government, State Government, Fed. Government, Agricultural, Institutional",Credited to customer's next bill at retail rate; granted to utility at end of 12-month billing cycle,B,TRUE,TRUE,#VALUE!,TRUE,TRUE,TRUE,2000,2000,2000,0.05,0
IN,"Solar Thermal Electric, Photovoltaics, Wind, Biomass, Hydroelectric, Fuel Cells, Hydrogen, Small Hydroelectric, Fuel Cells using Renewable Fuels",1 MW,"Commercial, Industrial, Residential, Nonprofit, Schools, Local Government, State Government, Fed. Government, Multi-Family Residential, Low-Income Residential, Agricultural, Institutional",Credited to customer's next bill at retail rate; carries over indefinitely,B,TRUE,TRUE,#VALUE!,TRUE,TRUE,TRUE,1000,1000,1000,0.01,0
IA,"Photovoltaics, Wind, Biomass, Hydroelectric, Municipal Solid Waste, Small Hydroelectric",500 kW,"Commercial, Industrial, Residential",Credited to customer's next bill at retail rate; carries over indefinitely,B,TRUE,TRUE,#VALUE!,TRUE,TRUE,TRUE,500,500,500,1.00E+40,0
KS,"Solar Thermal Electric, Photovoltaics, Landfill Gas, Wind, Biomass, Hydroelectric, Small Hydroelectric, Fuel Cells using Renewable Fuels",200 kW for non-residential; 25 kW for residential,"Commercial, Industrial, Residential, Schools, Local Government, State Government, Fed. Government, Agricultural, Institutional",Credited to customer's next bill at retail rate; granted to utility at end of 12-month billing cycle,B,TRUE,TRUE,#VALUE!,TRUE,TRUE,TRUE,25,200,200,0.01,0
KY,"Photovoltaics, Wind, Biomass, Hydroelectric, Biogas, Small Hydroelectric",30 kW,"Commercial, Residential, Nonprofit, Schools, Local Government, State Government, Agricultural, Institutional",Credited to customer's next bill at retail rate; carries over indefinitely,B,TRUE,TRUE,#VALUE!,TRUE,TRUE,#VALUE!,30,30,30,0.01,0
LA,"Photovoltaics, Wind, Biomass, Hydroelectric, Geothermal Electric, Small Hydroelectric, Fuel Cells using Renewable Fuels, Microturbines",300 kW for commercial; 25 kW for residential,"Commercial, Residential, Agricultural",Credited to customer's next bill at retail rate; carried over indefinitely,B,TRUE,TRUE,TRUE,TRUE,TRUE,#VALUE!,25,300,300,0.005,0
ME,"Solar Thermal Electric, Photovoltaics, Wind, Biomass, Hydroelectric, Geothermal Electric, Fuel Cells, Municipal Solid Waste, CHP/Cogeneration, (CHP/Cogeneration since April 30, 2009), Small Hydroelectric, Tidal Energy",660 kW for IOU customers; 100 kW for muni and co-op customers (although they may offer up to 660 kW voluntarily),"Commercial, Industrial, Residential",Credited to customer's next bill at retail rate; granted to utility at end of 12-month billing cycle,B,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,660,660,660,1.00E-02,0
MD,"Photovoltaics, Wind, Biomass, Fuel Cells, CHP/Cogeneration, Anaerobic Digestion","2 MW generally, (30 kW for micro-CHP) ","Commercial, Industrial, Residential, Nonprofit, Schools, Local Government, State Government, Fed. Government, Agricultural, Institutional",Credited to customer's next bill at retail rate; reconciled annually at the wholesale energy rate,A,TRUE,TRUE,#VALUE!,TRUE,TRUE,TRUE,2000,2000,2000,1500,0
MA,"Solar Thermal Electric, Photovoltaics, Wind, Biomass, Hydroelectric, Geothermal Electric, Fuel Cells, Municipal Solid Waste, CHP/Cogeneration, Anaerobic Digestion, Small Hydroelectric, Other Distributed Generation Technologies","10 MW for net metering by a municipality or other governmental entity; 2 MW for all other ""Class III"" systems; 1 MW for all other ""Class II"" systems; 60 kW for all other ""Class I"" systems ","Commercial, Industrial, Residential, Nonprofit, Schools, Local Government, State Government, Fed. Government, Agricultural, Institutional",Varies by system type and customer class,A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2000,2000,2000,0.09,0
MI,"Photovoltaics, Landfill Gas, Wind, Biomass, Hydroelectric, Municipal Solid Waste, Anaerobic Digestion, Small Hydroelectric, Tidal Energy, Wave Energy",150 kW ,"Commercial, Industrial, Residential, Nonprofit, Schools, Local Government, State Government, Fed. Government, Agricultural",Credited to customer's next bill at retail rate for systems 20 kW or less; credited to customer's next bill at power supply component of retail rate for larger systems. Carries over indefinitely. ,B,TRUE,TRUE,#VALUE!,TRUE,TRUE,TRUE,150,150,150,0.0075,0
MN,"Photovoltaics, Landfill Gas, Wind, Biomass, Hydroelectric, Municipal Solid Waste, CHP/Cogeneration, Anaerobic Digestion, Small Hydroelectric, Other Distributed Generation Technologies",1 MW,"Commercial, Industrial, Residential","Rolled over each month until the customerreaches a bill credit of $25 or more. At that time, customer receives payment for the total credit ",B,TRUE,TRUE,#VALUE!,TRUE,TRUE,TRUE,1000,1000,1000,4.00E-02,1
MS,,,,,F,TRUE,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,20,2000,2000,3.00E-02,0
MO,"Solar Thermal Electric, Photovoltaics, Wind, Hydroelectric, Small Hydroelectric, Fuel Cells using Renewable Fuels",100 kW ,"Commercial, Industrial, Residential, Nonprofit, Schools, Local Government, State Government, Fed. Government, Agricultural, Institutional",Credited to customer's next bill at avoided-cost rate; granted to utility at end of 12-month period ,B,TRUE,TRUE,#VALUE!,TRUE,TRUE,TRUE,100,100,100,0.05,0
MT,"Photovoltaics, Wind, Hydroelectric, Small Hydroelectric",50 kW,"Commercial, Industrial, Residential",Credited to customer's next bill at retail rate; granted to utility at end of 12-month billing cycle ,C,TRUE,TRUE,#VALUE!,TRUE,TRUE,TRUE,50,50,50,1.00E+40,0
NE,"Photovoltaics, Landfill Gas, Wind, Biomass, Hydroelectric, Geothermal Electric, Anaerobic Digestion, Small Hydroelectric",25 kW,"Commercial, Industrial, Residential, Agricultural",Credited to customer's next bill at avoided-cost rate; excess reconciled at end of annual period ,B,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,25,25,25,0.01,0
NV,"Solar Thermal Electric, Photovoltaics, Wind, Biomass, Hydroelectric, Geothermal Electric, Small Hydroelectric",1 MW,"Commercial, Industrial, Residential",Credited to customer's next bill at retail rate; carries over indefinitely ,A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000,1000,1000,235,0
NH,"Photovoltaics, Landfill Gas, Wind, Biomass, Hydroelectric, Geothermal Electric, Small Hydroelectric, Tidal Energy, Wave Energy, Biodiesel, Other Distributed Generation Technologies","1 MW for most renewables, 100 kW for wind, 30 kW for CHP","Commercial, Industrial, Residential",Credited to customer's next bill at retail rate; carries over indefinitely ,A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000,1000,1000,100,0
NJ,"Solar Thermal Electric, Photovoltaics, Landfill Gas, Wind, Biomass, Geothermal Electric, Anaerobic Digestion, Tidal Energy, Wave Energy, Fuel Cells using Renewable Fuels",System must be sized not to exceed the customerês electricity consumption during the previous year,"Commercial, Industrial, Residential, Nonprofit, Schools, Local Government, State Government, Tribal Government, Fed. Government, Agricultural, Institutional",Generally credited to customer's next bill at retail rate; excess reconciled at end of annual period at avoided-cost rate ,A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Inf,Inf,Inf,2.90E-02,1
NM,"Solar Thermal Electric, Photovoltaics, Landfill Gas, Wind, Biomass, Hydroelectric, Geothermal Electric, Fuel Cells, Municipal Solid Waste, CHP/Cogeneration, Small Hydroelectric, Microturbines",80 MW ,"Commercial, Industrial, Residential",Credited to customer's next bill at avoided-cost rate or reconciled monthly at avoided-cost rate ,B,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,80000,80000,80000,1.00E+40,0
NY,"Photovoltaics, Wind, Biomass, Fuel Cells, CHP/Cogeneration, Anaerobic Digestion, Microturbines",2 MW for non-residential solar or wind; 500 kW for agricultural wind or biogas; 25 kW for residential solar or wind; 10 kW for residential micro-CHP and fuel cells ,"Commercial, Industrial, Residential, Nonprofit, Schools, Local Government, State Government, Fed. Government, Agricultural, Institutional","Generally credited to customer's next bill at retail rate, except avoided cost for micro-CHP and fuel cells; excess generally reconciled annually at avoided-cost rate, except excess for non-residential wind and solar and residential micro-CHP and fuel cells carries over indefinitely ",A,TRUE,TRUE,#VALUE!,TRUE,TRUE,TRUE,25,2000,2000,0.06,0
NC,"Photovoltaics, Landfill Gas, Wind, Biomass, Hydroelectric, CHP/Cogeneration, Hydrogen, Anaerobic Digestion, Small Hydroelectric, Tidal Energy, Wave Energy, Fuel Cells using Renewable Fuels",1 MW ,"Commercial, Industrial, Residential, Nonprofit, Schools, Local Government, State Government, Tribal Government, Fed. Government, Agricultural, Institutional",Credited to customer's next bill at retail rate; granted to utility at beginning of summer billing season ,C,TRUE,TRUE,#VALUE!,TRUE,TRUE,TRUE,1000,1000,1000,1.00E+40,0
ND,"Solar Thermal Electric, Photovoltaics, Wind, Biomass, Hydroelectric, Geothermal Electric, Municipal Solid Waste, CHP/Cogeneration, Small Hydroelectric",100 kW ,"Commercial, Industrial, Residential",Reconciled monthly at avoided-cost rate ,D,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100,100,100,1.00E+40,0
OH,"Solar Thermal Electric, Photovoltaics, Landfill Gas, Wind, Biomass, Hydroelectric, Fuel Cells, Small Hydroelectric, Microturbines",No limit specified (limit based on customer's load) ,"Commercial, Industrial, Residential",Credited to customer's next bill at unbundled generation rate; customer may request refund of excess at end of 12-month billing period ,A,TRUE,TRUE,#VALUE!,TRUE,TRUE,TRUE,Inf,Inf,Inf,1.00E+40,0
OK,"Solar Thermal Electric, Photovoltaics, Wind, Biomass, Hydroelectric, Geothermal Electric, Municipal Solid Waste, CHP/Cogeneration, Small Hydroelectric","100 kW or 25,000 kWh/year (whichever is less) ","Commercial, Industrial, Residential, General Public/Consumer",Credited to customer's next bill or granted to utility monthly (varies by utility,F,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,17,17,17,1.00E+40,0
OR,"Solar Thermal Electric, Photovoltaics, Landfill Gas, Wind, Biomass, Hydroelectric, Fuel Cells, Anaerobic Digestion, Small Hydroelectric","2 MW for non-residential & 25 kW for residential PGE and PacifiCorp customers; 25 kW for non-residential & 10 kW for residential muni, co-op and PUD customers ","Commercial, Industrial, Residential, Nonprofit, Schools, Local Government, State Government, Fed. Government, Agricultural, Institutional","Credited to customer's next bill at utility's retail rate for IOU customers; varies for muni, co-op and PUD customers ",A,TRUE,TRUE,#VALUE!,TRUE,TRUE,TRUE,25,2000,2000,5.00E-03,0
PA,"Solar Thermal Electric, Photovoltaics, Landfill Gas, Wind, Biomass, Hydroelectric, Fuel Cells, Municipal Solid Waste, CHP/Cogeneration, Waste Coal, Coal-Mine Methane, Anaerobic Digestion, Small Hydroelectric, Other Distributed Generation Technologies",5 MW for microgrid and emergency systems; 3 MW for non-residential; 50 kW for residential ,"Commercial, Industrial, Residential, Nonprofit, Schools, Local Government, State Government, Fed. Government, Agricultural, Institutional","Credited to customer's next bill at retail rate; reconciled at end of year at ""price-to-compare"" ",A,TRUE,TRUE,#VALUE!,TRUE,TRUE,TRUE,50,3000,3000,1.00E+40,0
PR,"Photovoltaics, Wind, ""Other Sources"" of Renewable Energy",1 MW for non-residential; 25 kW for residential ,"Commercial, Industrial, Residential, Nonprofit, Schools, Multi-Family Residential, Agricultural, Institutional",Credited to customer's next bill at utility's retail rate (with certain limitations); excess reconciled at end of 12-month billing cycle , ,TRUE,TRUE,#VALUE!,TRUE,TRUE,TRUE,25,1000,1000,1.00E+40,0
RI,"Solar Thermal Electric, Photovoltaics, Wind, Biomass, Hydroelectric, Geothermal Electric, Anaerobic Digestion, Small Hydroelectric, Ocean Thermal, Fuel Cells using Renewable Fuels","5 MW (systems must be ""reasonably designed"" to generate only up to 100% of annual electricity consumption)","Commercial, Industrial, Residential, Nonprofit, Schools, Local Government, State Government, Fed. Government, Multi-Family Residential, Agricultural, Institutional",Credited at avoided cost; rolled over to next bill or purchased by utility,B,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5000,5000,5000,0.03,0
SC,"Photovoltaics, Landfill Gas, Wind, Biomass, Hydroelectric, Small Hydroelectric",100 kW for non-residential; 20 kW for residential,"Commercial, Industrial, Residential, Nonprofit, Schools, Local Government, State Government, Tribal Government, Fed. Government, Agricultural, Institutional",Credited to customer's next bill at applicable time-of-use rate or less; granted to utility (annually) at beginning of each summer,D,TRUE,TRUE,#VALUE!,TRUE,TRUE,TRUE,20,100,100,0.02,0
SD,,,,,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,0,0,0
TN,,,,,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,0,0,0
TX,,,,,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,0,0,0
UT,"Solar Thermal Electric, Photovoltaics, Landfill Gas, Wind, Biomass, Hydroelectric, Geothermal Electric, Fuel Cells, Hydrogen, Waste Gas and Waste Heat Capture or Recovery, Anaerobic Digestion, Small Hydroelectric",2 MW for non-residential; 25 kW for residential,"Commercial, Industrial, Residential, Nonprofit, Schools, Local Government, State Government, Fed. Government, Agricultural, Institutional",Credited to customer's next bill as retail rate for Rocky Mountain Power customers and at avoided-cost rate for co-ops; granted to utility at end of 12-month billing period,A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,25,2000,2000,0.2,0
VT,"Solar Thermal Electric, Photovoltaics, Landfill Gas, Wind, Biomass, Hydroelectric, CHP/Cogeneration, Anaerobic Digestion, Small Hydroelectric, Fuel Cells using Renewable Fuels",2.2 MW for military systems; 20 kW for micro-CHP; 500 kW for all other systems,"Commercial, Residential, Nonprofit, Schools, Local Government, State Government, Fed. Government, Agricultural, Institutional",Credited to customer's next bill at retail rate; excess credits not used within 12 months of generation granted to utility,A,TRUE,TRUE,#VALUE!,TRUE,TRUE,#VALUE!,500,500,500,0.15,0
VA,"Solar Thermal Electric, Photovoltaics, Wind, Biomass, Hydroelectric, Geothermal Electric, Municipal Solid Waste, Small Hydroelectric, Tidal Energy, Wave Energy",500 kW for non-residential (may be higher if a utility chooses); and 10 kW (20 kW with standby charges) for residential,"Commercial, Residential, Nonprofit, Schools, Local Government, State Government, Institutional","Credited to customer's next bill at retail rate. After 12-month cycle, customer may opt to roll over credit indefinitely or to receive payment at avoided-cost rate",D,TRUE,TRUE,TRUE,TRUE,TRUE,#VALUE!,20,1000,1000,0.01,0
WA,"Solar Thermal Electric, Photovoltaics, Wind, Hydroelectric, Fuel Cells, CHP/Cogeneration, Small Hydroelectric",100 kW,"Commercial, Industrial, Residential",Credited to customer's next bill at retail rate; granted to utility at end of 12-month billing cycle,B,TRUE,TRUE,#VALUE!,TRUE,TRUE,TRUE,100,100,100,0.005,0
WV,"Solar Thermal Electric, Photovoltaics, Landfill Gas, Wind, Biomass, Hydroelectric, Geothermal Electric, Fuel Cells, Small Hydroelectric, Renewable Fuels","IOUs with more than 30,000 customers: 2 MW for industrial; 500 kW for commercial; 25 kW for residential.IOUs with fewer than 30,000 customers, municipal utilities and co-ops: 50 kW for commercial and industrial; 25 kW for residential.","Commercial, Industrial, Residential, Agricultural",Credited to customer's next bill at retail rate with no annual true-up (perpetual rollover),A,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,25,500,2000,0.03,0
WI,"Solar Thermal Electric, Photovoltaics, Wind, Biomass, Hydroelectric, Geothermal Electric, Municipal Solid Waste, CHP/Cogeneration, Small Hydroelectric, Other Distributed Generation Technologies",20 kW (100 kW for wind for We Energies customers),"Commercial, Industrial, Residential",Generally credited at retail rate for renewables and avoided-cost for non-renewables,D,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,20,20,1.00E+40,0
WY,"Photovoltaics, Wind, Biomass, Hydroelectric, Small Hydroelectric",25 kW,"Commercial, Industrial, Residential",Credited to customer's next bill at retail rate; excess reconciled annually at seasonal avoided-cost rate,B,TRUE,TRUE,#VALUE!,TRUE,TRUE,TRUE,25,25,25,1.00E+40,0
