sector,description,units,variable
All,State Capital Cost Production Based Rebate - Incremental Capacity Amount 1,kW,WindIncr1kW_Sproduction
All,State Capital Cost Production Based Rebate - Incremental Capacity Amount 2,kW,WindIncr2kW_Sproduction
All,State Capital Cost Production Based Rebate - Incremental Capacity Amount 3,kW,WindIncr3kW_Sproduction
All,State Capital Cost Production Based Rebate - Incremental Production Amount 1,kWh,WindIncr1KWh_Sproduction
All,State Capital Cost Production Based Rebate - Incremental Production Amount 2,kWh,WindIncr2KWh_Sproduction
All,State Capital Cost Production Based Rebate - Incremental Production Amount 3,kWh,WindIncr3KWh_Sproduction
All,State Capital Cost Production Based Rebate Max $ Amount for Increment 1,$,WindIncr1MaxDol_Sproduction
All,State Capital Cost Production Based Rebate Max $ Amount for Increment 2,$,WindIncr2MaxDol_Sproduction
Commercial,State Capital Cost Production Based Rebate Min Eligible Size,kW,WindComMinKW_Sproduction
Residential,State Capital Cost Production Based Rebate Min Eligible Size,kW,WindResMinKW_Sproduction
Government Non-Profit,State Capital Cost Production Based Rebate Min Eligible Size,kW,WindNPMinKW_Sproduction
Commercial,State Capital Cost Production Based Rebate Max Eligible Size,kW,WindComMaxKW_Sproduction
Residential,State Capital Cost Production Based Rebate Max Eligible Size,kW,WindResMaxKW_Sproduction
Government Non-Profit,State Capital Cost Production Based Rebate Max Eligible Size,kW,WindNPMaxKW_Sproduction
Commercial,State Capital Cost Production Based Rebate - Max % of installed cost,% of system cost,WindComPercMax_Sproduction
Residential,State Capital Cost Production Based Rebate - Max % of installed cost,% of system cost,WindResPercMax_Sproduction
Government Non-Profit,State Capital Cost Production Based Rebate - Max % of installed cost,% of system cost,WindNPPercMax_Sproduction
Commercial,State Capital Cost Production Based Rebate - $ Limit,$,WindComMaxDol_Sproduction
Residential,State Capital Cost Production Based Rebate - $ Limit,$,WindResMaxDol_Sproduction
Govt Non-Profit,State Capital Cost Production Based Rebate - $ Limit,$,WindNPMaxDol_Sproduction
