State Abbreviation,WindComTDPercC_Staxdeductions,WindResPTCDolKWh_Staxcredits,WindComPTCDolKWh_Staxcredits,WindPTCYears_Staxcredits,WindTCMaxKW_Staxcredits,WindResDolKW_Srebatesgrants,WindResPercMax_Srebatesgrants,WindResMaxKW_Srebatesgrants,WindResMaxDol_Srebatesgrants,WindComTCPercC_Staxcredits,WindComTCMaxDol_Staxcredits,WindTCMinKW_Staxcredits,WindComMaxDolYr_Staxcredits,WindResTCPercC_Staxcredits,WindResTCMaxDol_Staxcredits,WindComDolKW_Srebatesgrants,WindNPDolKW_Srebatesgrants,WindResPbiDolKWh_Sproduction,WIndComPbiDolKWh_Sproduction,WindNPPbiDolKWh_Sproduction,WindResMaxDolYr_Sproduction,WindComMaxDolYr_Sproduction,WindNPMaxDolYr_Sproduction,WindResMaxDolYr_Staxcredits,WindResTDPercC_Staxdeductions,WindResTDMaxDol_Staxdeductions,WindComTCPercC_Ftaxcredits,WindComPercMax_Srebatesgrants,WindNPPercMax_Srebatesgrants,WindComMaxKW_Srebatesgrants,WindComMaxDol_Srebatesgrants,WindNPMaxDol_Srebatesgrants,WindPbiFitMaxKW_Sproduction,WindYears_Sproduction,WindResMinKW_Srebatesgrants,WindComMinKW_Srebatesgrants,WindIncr1KW_Srebatesgrants,WindResIncr1DolKW_Srebatesgrants,WindComIncr1DolKW_Srebatesgrants,WindNPIncr1DolKW_Srebatesgrants,WindIncr2KW_Srebatesgrants,WindResIncr2DolKW_Srebatesgrants,WindComIncr2DolKW_Srebatesgrants,WindNPIncr2DolKW_Srebatesgrants,WindIncr3KW_Srebatesgrants,WindComIncr3DolKW_Srebatesgrants,WindNPIncr3DolKW_Srebatesgrants,WindResTCPercC_Ftaxcredits,WindResPbiFitMaxDol_Srebatesgrants,WindComPbiFitMaxDol_Srebatesgrants,WindNPPbiFitMaxDol_Srebatesgrants,WindYears_Srebatesgrants,WindPbiFitMaxKW_Srebatesgrants,WindResPbiFitPercMax_Srebatesgrants,WindComPbiFitPercMax_Srebatesgrants,WindNPPbiFitPercMax_Srebatesgrants,WindResFitDolKWh_Sproduction,WindComFitDolKWh_Sproduction,WindNPFitDolKWh_Sproduction,WindPbiFitMinKW_Sproduction,WindComDolKWh_Sproduction,WindResDolKWh_Sproduction,WindNPDolKWh_Sproduction,WindComIncr1DolKWh_Sproduction,WindResIncr1DolKWh_Sproduction,WindNPIncr1DolKWh_Sproduction,WindComIncr2DolKWh_Sproduction,WindResIncr2DolKWh_Sproduction,WindNPIncr2DolKWh_Sproduction,WindComIncr3DolKWh_Sproduction,WindResIncr3DolKWh_Sproduction,WindNPIncr3DolKWh_Sproduction,WindIncr1kW_Sproduction,WindIncr2kW_Sproduction,WindIncr3kW_Sproduction,WindIncr1KWh_Sproduction,WindIncr2KWh_Sproduction,WindIncr3KWh_Sproduction,WindIncr1MaxDol_Sproduction,WindIncr2MaxDol_Sproduction,WindComMinKW_Sproduction,WindResMinKW_Sproduction,WindNPMinKW_Sproduction,WindComMaxKW_Sproduction,WindResMaxKW_Sproduction,WindNPMaxKW_Sproduction,WindComPercMax_Sproduction,WindResPercMax_Sproduction,WindNPPercMax_Sproduction,WindComMaxDol_Sproduction,WindResMaxDol_Sproduction,WindNPMaxDol_Sproduction,
HI,,,,,,,,,,0.20 ,"500,000.00 ",,,0.20 ,"1,500.00 ",,,,,,,,,,,,,,,,,,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,,,,,,0.00 ,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,,,,,,,,,,,1.00 ,"20,000.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,,,,,,"1,750.00 ",0.30 ,100.00 ,"10,000.00 ",,,,,,,"1,750.00 ","2,500.00 ",,,,,,,,,,,0.30 ,0.40 ,,"20,000.00 ","30,000.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,,,,,,,,,,0.30 ,"1,000.00 ",,,0.30 ,500.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,,,,,,"3,000.00 ",0.50 ,750.00 ,"1,000,000.00 ",,,,,,,"3,000.00 ","3,000.00 ",,,,,,,,,,,0.50 ,0.50 ,750.00 ,"1,000,000.00 ","1,000,000.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,1.00 ,,,,,,,,,,,,,0.15 ,"1,000.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,,,,,,,,,,0.35 ,,,,1.00 ,500.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,,0.00 ,0.00 ,10.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,,,,,,,,,,,,,,,,,,0.04 ,0.04 ,0.09 ,,,,,,,,,,,,,,5.00 ,,,,,,,,,,,,,,,,,,,,0.50 ,0.50 ,0.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,,,,,,750.00 ,0.50 ,10.00 ,"3,750.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 ,0.00 ,0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,,,,10.00 ,,,,,,,,"1,000.00 ","4,000,000.00 ",,,,,,,,,,,"4,000,000.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,000.00 ","1,000,000.00 ","150,000.00 ",1.00 ,"2,000.00 ",0.50 ,0.50 ,0.50 ,,,,,,,,3.50 ,3.50 ,3.50 ,1.00 ,1.00 ,1.00 ,0.30 ,0.30 ,0.30 ,0.00 ,0.00 ,0.00 ,"10,000.00 ","125,000.00 ","1,000,000.00 ","35,000.00 ","150,000.00 ",0.00 ,0.00 ,0.00 ,"2,000.00 ","2,000.00 ","2,000.00 ",0.50 ,0.50 ,0.50 ,"1,000,000.00 ","1,000,000.00 ","1,000,000.00 ",
NC,,,,,,,,,,0.35 ,"2,500,000.00 ",,,0.35 ,"10,500.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,,,0.01 ,10.00 ,,,,,,,,"1,000.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,,2.00 ,,4.00 ,,,,,,,,,,0.50 ,"6,000.00 ",,,,,,,,,"1,500.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00 ,5.00 ,5.00 ,1.75 ,1.75 ,1.75 ,,,,,,,"9,500.00 ","1,000,000.00 ",,,,,,,90.00 ,90.00 ,90.00 ,0.50 ,0.50 ,0.50 ,"200,000.00 ","200,000.00 ","200,000.00 ",
PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR,,,,,,,0.40 ,100.00 ,,,,,,,,,,,,,,,,,0.50 ,"3,000.00 ",,0.40 ,,100.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,,,,,,,,,"1,000.00 ",,,,,,,,,0.105 ,0.102 ,0.102 ,,,,,,,,,,,"1,000.00 ","1,000.00 ",50.00 ,20.00 ,,,,,,,,,,,,,,,,,,20.00 ,50.00 ,,,,,,,0.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,0.10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,,,,,,,,,,0.10 ,"50,000.00 ",,,0.25 ,"2,000.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,,,,,,0.00 ,,,,0.07 ,,,,,,0.00 ,0.00 ,,,,,,,,,,,,,,,,,0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,,,,,,,,,,,,,,,,,,0.12 ,0.12 ,0.12 ,"5,000.00 ","5,000.00 ","5,000.00 ",,,,,,,,,,,5.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
